date,day_of_week,recommended_price,min_price,max_price,confidence,competitor_count,data_type,1_night_total,3_nights_total,3_nights_discount,7_nights_total,7_nights_discount,14_nights_total,14_nights_discount
2026-11-25,Wednesday,£150,£128,£172,low,0,interpolated,£150,£428,5%,£945,10%,£1785,15%
2026-11-26,Thursday,£150,£128,£172,low,0,interpolated,£150,£428,5%,£945,10%,£1785,15%
2026-11-27,Friday,£173,£147,£199,low,0,interpolated,£173,£493,5%,£1090,10%,£2059,15%
2026-11-28,Saturday,£180,£153,£207,low,0,interpolated,£180,£513,5%,£1134,10%,£2142,15%
2026-11-29,Sunday,£143,£122,£164,low,0,interpolated,£143,£408,5%,£901,10%,£1702,15%
2026-11-30,Monday,£150,£128,£172,low,0,interpolated,£150,£428,5%,£945,10%,£1785,15%
2026-12-01,Tuesday,£183,£156,£210,low,0,interpolated,£183,£522,5%,£1153,10%,£2178,15%
2026-12-02,Wednesday,£183,£156,£210,low,0,interpolated,£183,£522,5%,£1153,10%,£2178,15%
2026-12-03,Thursday,£183,£156,£210,low,0,interpolated,£183,£522,5%,£1153,10%,£2178,15%
2026-12-04,Friday,£211,£179,£243,low,0,interpolated,£211,£601,5%,£1329,10%,£2511,15%
2026-12-05,Saturday,£220,£187,£253,low,0,interpolated,£220,£627,5%,£1386,10%,£2618,15%
2026-12-06,Sunday,£174,£148,£200,low,0,interpolated,£174,£496,5%,£1096,10%,£2071,15%
2026-12-07,Monday,£183,£156,£210,low,0,interpolated,£183,£522,5%,£1153,10%,£2178,15%
2026-12-08,Tuesday,£183,£156,£210,low,0,interpolated,£183,£522,5%,£1153,10%,£2178,15%
2026-12-09,Wednesday,£183,£156,£210,low,0,interpolated,£183,£522,5%,£1153,10%,£2178,15%
2026-12-10,Thursday,£183,£156,£210,low,0,interpolated,£183,£522,5%,£1153,10%,£2178,15%
2026-12-11,Friday,£211,£179,£243,low,0,interpolated,£211,£601,5%,£1329,10%,£2511,15%
2026-12-12,Saturday,£220,£187,£253,low,0,interpolated,£220,£627,5%,£1386,10%,£2618,15%
2026-12-13,Sunday,£174,£148,£200,low,0,interpolated,£174,£496,5%,£1096,10%,£2071,15%
2026-12-14,Monday,£183,£156,£210,low,0,interpolated,£183,£522,5%,£1153,10%,£2178,15%
2026-12-15,Tuesday,£183,£156,£210,low,0,interpolated,£183,£522,5%,£1153,10%,£2178,15%
2026-12-16,Wednesday,£183,£156,£210,low,0,interpolated,£183,£522,5%,£1153,10%,£2178,15%
2026-12-17,Thursday,£183,£156,£210,low,0,interpolated,£183,£522,5%,£1153,10%,£2178,15%
2026-12-18,Friday,£211,£179,£243,low,0,interpolated,£211,£601,5%,£1329,10%,£2511,15%
2026-12-19,Saturday,£220,£187,£253,low,0,interpolated,£220,£627,5%,£1386,10%,£2618,15%
2026-12-20,Sunday,£174,£148,£200,low,0,interpolated,£174,£496,5%,£1096,10%,£2071,15%
2026-12-21,Monday,£163,£139,£187,medium,7,real,£163,£465,5%,£1027,10%,£1940,15%
2026-12-22,Tuesday,£179,£152,£206,low,0,interpolated,£179,£510,5%,£1128,10%,£2130,15%
2026-12-23,Wednesday,£179,£152,£206,low,4,real,£179,£510,5%,£1128,10%,£2130,15%
2026-12-24,Thursday,£187,£159,£215,low,0,interpolated,£187,£533,5%,£1178,10%,£2225,15%
2026-12-25,Friday,£215,£183,£247,low,0,interpolated,£215,£613,5%,£1354,10%,£2558,15%
2026-12-26,Saturday,£224,£190,£258,low,0,interpolated,£224,£638,5%,£1411,10%,£2666,15%
2026-12-27,Sunday,£178,£151,£205,low,0,interpolated,£178,£507,5%,£1121,10%,£2118,15%
2026-12-28,Monday,£187,£159,£215,low,0,interpolated,£187,£533,5%,£1178,10%,£2225,15%
2026-12-29,Tuesday,£187,£159,£215,low,0,interpolated,£187,£533,5%,£1178,10%,£2225,15%
2026-12-30,Wednesday,£187,£159,£215,low,0,interpolated,£187,£533,5%,£1178,10%,£2225,15%
2026-12-31,Thursday,£187,£159,£215,low,0,interpolated,£187,£533,5%,£1178,10%,£2225,15%
